state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
26468,3352.334889,5,e,0,5,0,1
26474,4427.890314,5,e,3,1,0,4
26475,4478.928322,5,e,2,3,0,3
26476,4569.414188,5,e,1,5,0,2
26478,4688.555439,5,e,2,3,0,2
26480,4813.169161,5,e,1,5,0,1
26483,4901.843484,5,e,2,3,0,1
26484,4950.094333,5,e,3,1,0,1
26490,5650.272227,5,e,4,1,0,5
26491,5695.452876,5,e,3,3,0,4
26492,5778.211342,5,e,2,5,0,3
26494,5914.487322,5,e,3,3,0,3
26496,6027.255992,5,e,2,5,0,2
26499,6130.256894,5,e,3,3,0,2
26500,6188.41434,5,e,1,4,1,2
26501,6190.723029,5,e,4,1,0,2
26503,6280.093401,5,e,2,5,0,1
26505,6358.476257,5,e,3,3,0,1
26508,6409.734596,5,e,1,4,1,1
26512,6613.307606,5,e,0,3,2,1
26518,7070.196606,5,e,5,1,0,5
26521,7251.667709,5,e,5,1,0,4
26524,7352.187994,5,e,4,3,0,3
26525,7384.762066,5,e,2,4,1,3
26526,7427.928957,5,e,5,1,0,3
26530,7578.79228,5,e,4,3,0,2
26532,7613.010421,5,e,2,4,1,2
26540,7843.569431,5,e,2,4,1,1
26541,7859.511637,5,e,5,1,0,1
26542,7900.926434,5,e,0,5,2,1
26559,8512.91724,5,e,4,2,1,5
26561,8572.398527,5,e,3,4,1,4
26567,8808.359629,5,e,3,4,1,3
26569,8854.060794,5,e,6,1,0,3
26571,8946.814036,5,e,3,1,2,4
26574,8993.130494,5,e,2,3,2,3
26576,9041.687517,5,e,3,4,1,2
26580,9122.825217,5,e,3,1,2,3
26582,9199.601676,5,e,2,3,2,2
26585,9280.999992,5,e,3,1,2,2
26586,9284.05061,5,e,3,4,1,1
26595,9406.246945,5,e,2,3,2,1
26597,9456.661219,5,e,3,1,2,1
26599,9506.420508,5,e,0,4,3,1
26610,9875.811495,5,e,0,1,4,1
26619,10124.502139,5,e,5,2,1,4
26623,10206.571845,5,e,6,0,1,4
26629,10325.483774,5,e,5,2,1,3
26630,10364.661574,5,e,6,0,1,3
26642,10565.705742,5,e,6,0,1,2
26643,10579.096629,5,e,3,0,3,4
26645,10603.812448,5,e,2,2,3,3
26647,10670.554734,5,e,1,4,3,2
26655,10781.763276,5,e,5,2,1,1
26656,10787.577722,5,e,2,2,3,2
26657,10799.056552,5,e,6,0,1,1
26663,10857.50031,5,e,4,1,2,1
26665,10887.398305,5,e,1,4,3,1
26668,10967.206611,5,e,2,2,3,1
26671,11055.020593,5,e,1,1,4,2
26678,11195.306552,5,e,1,1,4,1
26718,11961.967256,5,e,3,2,3,3
26732,12147.25501,5,e,3,2,3,2
26772,12718.488521,5,e,0,2,5,1
26862,13835.719733,5,e,2,0,5,3
26866,13862.291876,5,e,1,2,5,2
26879,14031.059054,5,e,1,2,5,1
26962,14970.778196,5,e,3,0,5,4
26981,15132.334741,5,e,3,0,5,3
26999,15250.594819,5,e,3,0,5,2
27009,15384.223099,5,e,3,0,5,1
31552,3809.134676,6,e,3,0,0,4
31553,3838.489199,6,e,2,2,0,3
31554,3914.831087,6,e,1,4,0,2
31557,4026.238858,6,e,0,6,0,1
31559,4138.766268,6,e,1,4,0,1
31561,4241.516115,6,e,3,0,0,1
31567,5063.759135,6,e,3,2,0,4
31568,5132.0466,6,e,2,4,0,3
31569,5213.636436,6,e,4,0,0,4
31570,5234.743427,6,e,1,6,0,2
31571,5261.907773,6,e,3,2,0,3
31572,5345.971689,6,e,4,0,0,3
31573,5362.473569,6,e,2,4,0,2
31574,5453.630662,6,e,3,2,0,2
31577,5496.344957,6,e,1,6,0,1
31578,5547.670787,6,e,1,3,1,2
31579,5596.638826,6,e,2,4,0,1
31580,5643.719472,6,e,0,5,1,1
